线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 信阳市卫生健康委员会 , 01-26 ,D1538,  火车  ,昆明南,信阳东,,,1/26/2020 8:46,1/26/2020 17:09,2/7/2020 13:49,
 湖南疾控 , 01-26 ,C8055,  火车  ,长沙,桃源,3号车厢,,1/26/2020 15:50,1/26/2020 18:08,2/7/2020 13:49,
 大渝网 , 01-26 ,CZ6567,  飞机  ,郑州,重庆,,,1/26/2020 12:00,1/26/2020 23:59,2/7/2020 13:49,
 鞍山共青团 , 01-26 ,GS6635,  飞机  ,呼和浩特,沈阳,,,1/26/2020 0:00,1/26/2020 23:59,2/7/2020 13:49,
 人民日报 , 01-26 ,MF870,  飞机  ,,哈尔滨,,,1/26/2020 12:00,1/26/2020 23:59,2/7/2020 13:49,
 人民日报 , 01-26 ,CZ6481,  飞机  ,,哈尔滨,,座位：44L,1/26/2020 0:00,1/26/2020 13:00,2/7/2020 13:49,
 芜湖发布 , 01-26 ,MU2706,  飞机  ,昆明,南京,,座位：34排,1/26/2020 0:00,1/26/2020 12:00,2/7/2020 13:49,
 淮北市卫生健康委员会 , 01-26 ,G649,  火车  ,合肥南,广州南,,乘务员，当班,1/26/2020 9:08,1/26/2020 15:42,2/2/2020 21:11,
 人民日报 , 01-26 ,G1538,  火车  ,昆明,信阳,2号车厢,,1/26/2020 8:46,1/26/2020 17:11,2/6/2020 14:56,
 人民日报 , 01-26 ,C2900,  火车  ,郑州,焦作,8号车厢,,1/26/2020 12:37,1/26/2020 13:11,2/6/2020 14:56,
 人民日报 , 01-26 ,CZ6481,  飞机  ,深圳,哈尔滨,,,1/26/2020 0:00,1/26/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-26 ,CA4385,  飞机  ,贵阳,郑州,,,1/26/2020 0:00,1/26/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-26 ,焦作公交16路,  公交车  ,火车站,外国语中学,,,1/26/2020 0:00,1/26/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-26 ,焦作公交16路,  公交车  ,市五官医院,外国语中学,,,1/26/2020 0:00,1/26/2020 23:59,2/6/2020 14:56,
 营口市人民政府 , 01-26 ,CZ6406,  飞机  ,昆明,沈阳,,,1/26/2020 0:00,1/26/2020 23:59,2/4/2020 23:08,
 合肥市卫健委 , 01-26 ,T35,  火车  ,北京,合肥,11号车厢,座位：10号下铺,1/26/2020 19:57,1/27/2020 7:30,2/7/2020 13:28,
 甘肃发布 , 01-25 ,Z135,  火车  ,宝鸡,兰州,17号车厢,,1/25/2020 9:18,1/25/2020 15:18,2/5/2020 12:27,
 人民日报 , 01-25 ,9C8540,  飞机  ,济州岛,扬泰机场,,,1/25/2020 10:00,1/25/2020 11:20,2/5/2020 12:27,
 辽沈晚报 , 01-25 ,司机微信号：小艾,  出租车  ,锦州市御烧烤（饭馆）,锦州市凌河区元都酒店,,,1/25/2020 0:00,1/25/2020 23:59,2/5/2020 0:19,
 辽沈晚报 , 01-25 ,司机微信号：老郭,  出租车  ,,锦州市 御烧烤（饭馆）,,,1/25/2020 16:00,1/25/2020 17:00,2/5/2020 0:19,
 中国江西网-江南都市报 , 01-25 ,8L9564,  飞机  ,杭州,赣州,,,1/25/2020 0:00,1/25/2020 23:59,1/27/2020 19:59,
 会泽县新型冠状病毒肺炎疫情防控指挥部，健康曲靖 , 01-25 ,G1421,  火车  ,长沙,曲靖北,4号车厢,座位：04C,1/25/2020 12:06,1/25/2020 17:55,2/7/2020 13:48,
 人民网-四川频道 , 01-25 ,K1156/1157,  火车  ,上海,成都,10号车厢,信阳站以后下车,1/25/2020 11:16,1/26/2020 17:01,2/3/2020 1:49,
 徐州市疾病预防控制中心 , 01-25 ,CZ5261,  飞机  ,广州白云,徐州观音,,座位：R40J,1/25/2020 10:30,1/25/2020 12:30,2/7/2020 13:48,
 建始县新型冠状病毒感染的肺炎防控指挥部，中国建始网 , 01-25 ,GJ8735,  飞机  ,深圳,恩施许家坪,,,1/25/2020 0:00,1/25/2020 23:59,2/7/2020 13:48,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-25 ,GJ8876,  飞机  ,南昌,沈阳,,,1/25/2020 15:55,1/25/2020 21:45,2/2/2020 15:13,
 人民日报 , 01-25 ,C5748,  火车  ,成都,南充,1号车厢,,1/25/2020 12:21,1/25/2020 14:07,2/6/2020 14:56,
 扬子晚报 , 01-25 ,南京D2公交车,  公交车  ,南京信息工程大学,南京大厂新华路建民路站,,20:00:00左右车次,1/25/2020 0:00,1/25/2020 0:00,1/31/2020 22:12,
 淄博市卫健委 , 01-25 ,SC4767,  飞机  ,重庆,济南,,,1/25/2020 13:05,1/25/2020 15:15,2/3/2020 1:49,
 人民日报 , 01-25 ,CZ2787,  飞机  ,大理,贵阳,,,1/25/2020 0:00,1/25/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-25 ,兰州公交74路,  公交车  ,张掖路山字石,佛慈大街,,,1/25/2020 0:00,1/25/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-25 ,西安 陕A26E3L,  出租车  ,不详,不详,黄色出租,,1/25/2020 0:00,1/25/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-25 ,西安 陕AD86217,  出租车  ,不详,不详,绿色出租,,1/25/2020 0:00,1/25/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-25 ,西安 陕A16D0Y,  出租车  ,不详,不详,黄色出租,,1/25/2020 0:00,1/25/2020 23:59,2/6/2020 14:56,
 营口市人民政府 , 01-25 ,A67340,  飞机  ,景洪,昆明,,,1/25/2020 0:00,1/25/2020 23:59,2/4/2020 23:08,
 环球网 , 01-25 ,机场大巴,  长途客车/大巴  ,常州奔牛机场,常州客运中心站,,,1/25/2020 15:55,1/25/2020 16:50,2/5/2020 0:19,
 人民网-海南频道 , 01-24 ,双泰26号,  轮船  ,海安新港,海口,,,1/24/2020 19:00,1/24/2020 23:59,2/3/2020 1:49,
 央视新闻 , 01-24 ,D3286,  火车  ,汉口,梅州西,,同车次乘客共有49人需采取防护措施,1/24/2020 10:14,1/24/2020 21:06,1/27/2020 18:02,
 广西壮族自治区卫生委官网 , 01-24 ,D8251,  火车  ,柳州,北海,8号车厢,座位001A,1/24/2020 17:38,1/24/2020 20:42,2/5/2020 12:27,
 宁德公安 , 01-24 ,闽JY5960,  公交车  ,福建宁德市人大信息楼,福建宁德市医院东侨院区,,6路公交车,1/24/2020 8:44,1/24/2020 8:53,1/31/2020 22:11,
 宁德公安 , 01-24 ,闽JY5936,  公交车  ,福建宁德市医院东侨院区,福建宁德青少年宫,,6路公交车,1/24/2020 11:48,1/24/2020 11:56,1/31/2020 22:11,
 人民日报 , 01-24 ,G1545,  火车  ,衡阳东,南宁东,1号车厢,,1/24/2020 13:55,1/24/2020 19:18,2/1/2020 20:30,
 小马网 , 01-24 ,G7088,  火车  ,上海,马鞍山,16号车厢,座位：8D,1/24/2020 12:54,1/24/2020 15:12,2/7/2020 13:48,
 健康广东 , 01-24 ,K9012,  火车  ,汕头,长沙,,,1/24/2020 13:16,1/25/2020 5:38,2/4/2020 1:19,
 央视新闻 , 01-24 ,西安市高陵区109路,  公交车  ,西安市高陵区,西安市高陵区,,途径农机推广站、北环广场站到中医院,1/24/2020 13:13,1/24/2020 23:59,1/27/2020 19:46,
 央视新闻 , 01-24 ,西安市高陵区109路,  公交车  ,北环广场站,上林二路东口站,,农机推广站、高交路口站、电力路口站、高陵汽车站、东方红路十字站、交警大队站、一中路口站、上林二路东口站,1/24/2020 14:30,1/24/2020 23:59,1/27/2020 19:48,
 辽沈晚报 , 01-24 ,司机微信号：戈子哥,  出租车  ,锦州南站,锦州市凌河区元都酒店,,,1/24/2020 0:00,1/24/2020 23:59,2/5/2020 0:19,
 沈阳日报 , 01-24 ,未知,  出租车  ,沈阳市传染病院,沈阳市皇姑区昆山西路153-3号,,,1/24/2020 22:30,1/24/2020 23:59,2/5/2020 0:19,
 央视新闻 , 01-24 ,豫ATV968,  出租车  ,,,,1月24日前一直从事出租车运营工作(豫ATV968)。其于2月3日确诊，是郑州首位确诊的出租车司机,1/10/2020 0:00,1/24/2020 0:00,2/6/2020 10:48,
 徐州市疾病预防控制中心 , 01-24 ,CZ348,  飞机  ,法国戴高乐,广州白云,,座位：55G,1/24/2020 18:58,1/25/2020 5:49,2/7/2020 13:48,
 人民日报 , 01-24 ,包头32路公交车,  公交车  ,包头医学院第一附属医院,包头市昆区团结大街九号街坊华龙苑住宅小区,,,1/24/2020 18:00,1/24/2020 23:59,1/27/2020 20:07,
 人民网-四川频道 , 01-24 ,D2262/D2263,  火车  ,杭州,成都,5号车厢,麻城站以后下车,1/24/2020 0:00,1/24/2020 23:59,2/3/2020 1:49,
 人民网-四川频道 , 01-24 ,G2372,  火车  ,厦门,成都,6号车厢,,1/24/2020 0:00,1/24/2020 23:59,2/3/2020 1:49,
 大理发布 , 01-24 ,K9628,  火车  ,丽江,大理,4号车厢,座位：13A/13B/13C,1/24/2020 13:22,1/24/2020 15:49,2/3/2020 1:50,
 济南市卫生健康委员会 , 01-24 ,G4,  火车  ,上海虹桥,济南西,13号车厢,,1/24/2020 14:00,1/24/2020 17:01,2/5/2020 0:19,
