线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 人民日报 , 01-20 ,赣E54478,  长途客车/大巴  ,婺源高铁站,老北站,公交2路,,1/20/2020 0:00,1/20/2020 23:59,2/1/2020 20:30,
 央视新闻 , 01-20 ,MU749,  飞机  ,西安,悉尼,,经武汉,1/20/2020 0:00,1/20/2020 23:59,1/27/2020 17:17,
 人民日报 , 01-20 ,Z292,  火车  ,武汉,西安,10号车厢,,1/20/2020 17:34,1/21/2020 5:10,2/5/2020 12:27,
 央视新闻 , 01-20 ,D1825,  火车  ,成都东,兴文,10号车厢,,1/20/2020 13:22,1/20/2020 15:36,1/27/2020 17:20,
 安徽共青团 , 01-20 ,怀远刘集专线,  长途客车/大巴  ,蚌埠市怀远县老西汽车站,达兰桥乡兰桥村,,可能发车时间在8:00到9:20之间,1/20/2020 8:00,1/20/2020 10:00,1/31/2020 22:11,
 人民日报 , 01-20 ,G640,  火车  ,武汉,天水南,1号车厢,,1/20/2020 10:26,1/20/2020 16:56,2/5/2020 12:27,
 徐州都市晨报 , 01-20 ,苏CE9333,  出租车  ,万福街东口,徐医附院,,18:30从万福街东口乘车,1/20/2020 18:30,1/20/2020 23:59,1/31/2020 22:11,
 人民日报 , 01-20 ,G1161,  火车  ,武汉,长沙南,10号车厢,,1/20/2020 11:50,1/20/2020 13:25,2/5/2020 12:27,
 人民日报 , 01-20 ,G847,  火车  ,武汉,岳阳,6号车厢,有2名新型冠状病毒感染的肺炎确诊病例的密切接触者,1/20/2020 11:34,1/20/2020 12:25,2/5/2020 12:27,
 半岛都市报 , 01-20 ,JD5528,  飞机  ,武汉,青岛,,,1/20/2020 0:00,1/20/2020 23:59,1/29/2020 22:17,
 人民日报 , 01-20 ,SC4933,  飞机  ,武汉,南宁,,,1/20/2020 0:00,1/20/2020 23:59,1/29/2020 22:17,
 龙岗发布 , 01-20 ,G77,  火车  ,武汉,深圳北,3号车厢,,1/20/2020 9:00,1/20/2020 13:18,2/4/2020 1:19,
 山西晚报 , 01-20 ,G856,  火车  ,武汉,西安北,3号车厢,,1/20/2020 9:17,1/20/2020 14:20,2/4/2020 1:19,
 济南市卫生健康委员会 , 01-20 ,G185,  火车  ,济南西,潍坊,5号车厢,5车15A,1/20/2020 14:14,1/20/2020 15:58,2/3/2020 1:49,
 济南市卫生健康委员会 , 01-20 ,G6922,  火车  ,泰安,济南西,5号车厢,5车12D,1/20/2020 8:58,1/20/2020 9:15,2/3/2020 1:49,
 中共许昌市委宣传部官方微博 , 01-20 ,G466,  火车  ,武汉,许昌东,7号车厢,,1/20/2020 15:21,1/20/2020 16:59,2/4/2020 1:19,
 山西晚报 , 01-20 ,D2564,  火车  ,西安北,侯马西,4号车厢,,1/20/2020 18:50,1/20/2020 20:43,2/4/2020 1:19,
 仙居发布 , 01-20 ,D2190,  火车  ,汉口站,杭州站,4号车厢,,1/20/2020 9:36,1/20/2020 14:35,2/3/2020 1:49,
 人民日报 , 01-20 ,D615,  火车  ,汉口,成都,7号车厢,,1/20/2020 0:00,1/20/2020 23:59,2/1/2020 20:30,
 人民日报 , 01-20 ,K7459,  火车  ,沈阳,双辽,7号车厢,,1/20/2020 15:34,1/20/2020 19:31,2/1/2020 20:30,
 新邵发布 , 01-20 ,K1803,  火车  ,武昌,邵阳,11号车厢,新邵县首例2020.1.26确诊,1/20/2020 9:38,1/20/2020 17:50,2/3/2020 1:49,
 川报观察 , 01-20 ,C5990,  火车  ,贵阳北,大方,9号车厢,到达成都,1/20/2020 17:30,1/20/2020 18:16,2/1/2020 20:30,
 广西壮族自治区新型冠状病毒感染的肺炎疫情防控工作领导小组指挥部 , 01-20 ,K315,  火车  ,武汉武昌,南宁,7号车厢,座位031C号,1/20/2020 8:53,1/21/2020 6:41,1/30/2020 20:16,
 亳州市人民政府 , 01-20 ,利辛集海王阁酒店,  其它公共场所  ,利辛县,利辛县,,张某婚礼,1/20/2020 12:00,1/20/2020 23:59,1/31/2020 22:12,
 央视新闻 , 01-20 ,G4285,  火车  ,武昌,郑州,8号车厢,,1/20/2020 7:00,1/20/2020 0:00,1/27/2020 19:37,
 利川市新型冠状病毒感染的肺炎防控指挥部办公室 , 01-20 ,MU2603,  飞机  ,武汉天河国际机场,恩施,,,1/20/2020 8:00,1/20/2020 11:00,2/5/2020 16:14,
 淮安发布 , 01-20 ,D3044,  火车  ,武汉武昌站,南京南站,,,1/20/2020 9:40,1/20/2020 13:21,2/3/2020 1:49,
 江川发布 , 01-20 ,G1525,  火车  ,长沙南,昆明南,15号车厢,4B座，27日确诊,1/20/2020 8:45,1/20/2020 15:15,1/31/2020 22:12,
 滁州市人民政府发布 , 01-20 ,D2214,  火车  ,武汉,全椒,16号车厢,途径 金寨、六安、合肥、全椒,1/20/2020 13:56,1/20/2020 16:36,1/31/2020 22:12,
 微博头条新闻 , 01-20 ,D5368,  火车  ,太原南,应县,06号车厢18D座,,1/20/2020 10:50,1/20/2020 13:10,1/27/2020 19:48,
 微博头条新闻 , 01-20 ,不详,  出租车  ,应县火车站,应县县城,,黑色出租车,1/20/2020 12:38,1/20/2020 12:50,1/27/2020 19:52,
 沈阳市疫情联防联控工作领导小组办公室 , 01-20 ,JD5628,  飞机  ,沈阳,武汉,,到武汉旅游，期间曾到南昌,1/20/2020 18:20,1/20/2020 21:20,2/3/2020 1:49,
 微博头条新闻 , 01-20 ,晋F1838X,  公交车  ,应县县城,杏寨乡石店村,,农村客运班车,1/20/2020 17:00,1/20/2020 17:00,1/27/2020 19:53,
 玉溪发布 , 01-20 ,G1525,  火车  ,武汉,昆明南,3号车厢,座位号：11A，云南省玉溪市通海县秀山街道确诊,1/20/2020 8:41,1/20/2020 15:15,1/31/2020 21:06,
 马鞍山发布 , 01-20 ,D2214,  火车  ,汉口站,全椒站,4号车厢,11C,1/20/2020 13:56,1/20/2020 16:36,1/31/2020 22:12,
 渭南政法网 , 01-20 ,太原晋C60695,  长途客车/大巴  ,武宿机场,平遥,,,1/20/2020 20:00,1/20/2020 23:59,1/27/2020 20:07,
 海南省卫生健康委员会 , 01-20 ,HU7658,  飞机  ,武汉,海口,,,1/20/2020 0:00,1/20/2020 23:59,2/2/2020 0:30,
 景德镇日报 , 01-20 ,G867,  火车  ,武汉站,景德镇北站,5号车厢,途径武汉、黄石、九江,1/20/2020 11:46,1/20/2020 13:33,1/27/2020 20:09,
 云南网 , 01-20 ,KY8288,  飞机  ,武汉,昆明,,座位号：29B,1/20/2020 22:46,1/20/2020 23:59,1/27/2020 20:13,
 淮北发布 , 01-20 ,D3012,  火车  ,汉口站,合肥南站,3号车厢,07A,1/20/2020 8:30,1/20/2020 10:45,1/31/2020 22:12,
 淮北发布 , 01-20 ,G9476,  火车  ,合肥南站,淮北站,15号车厢,08A,1/20/2020 11:16,1/20/2020 13:23,1/31/2020 22:12,
 健康德阳 , 01-20 ,T246/T247,  火车  ,武汉武昌,成都东,2号车厢,乘坐公共汽车从成都东站到达什邡汽车站,1/20/2020 19:58,1/21/2020 11:20,1/31/2020 22:12,
 云南发布 , 01-20 ,G1525,  火车  ,武汉,昆明南,2号车厢,座位号18A,1/20/2020 8:41,1/20/2020 15:15,2/4/2020 1:26,
 人民日报 , 01-20 ,Z96,  火车  ,汉口,邯郸,4号车厢,,1/20/2020 23:42,1/20/2020 6:27,2/4/2020 1:26,
 人民日报客户端 , 01-20 ,Z162,  火车  ,武昌,北京西,10车厢,"14车箱94号硬座,后补票至10车箱5号卧铺",1/20/2020 20:10,1/20/2020 6:52,2/4/2020 1:26,
 仪陇县应对新型冠状病毒感染肺炎疫情应急指挥部 , 01-20 ,D2259,  火车  ,武汉汉口,重庆北,13车厢,座位：07B、07C,1/20/2020 10:36,1/20/2020 17:18,2/3/2020 1:49,
 人民日报 , 01-20 ,Z162,  火车  ,武昌,北京西,14车厢,"14车箱94号硬座,后补票至10车箱5号卧铺",1/20/2020 20:10,1/20/2020 6:52,2/4/2020 1:26,
 安庆论坛 , 01-20 ,安庆市24路,  公交车  ,安庆市政务中心西站,安庆市新纪元商务酒店站,,,1/20/2020 14:00,1/20/2020 14:30,1/31/2020 22:12,
 安徽发布 , 01-20 ,K1624,  火车  ,武昌,阜阳,17号车厢,,1/20/2020 18:26,1/20/2020 23:27,2/4/2020 1:26,
 安庆论坛 , 01-20 ,安庆市18路,  公交车  ,安庆市新世纪商务酒店站,安庆市中北巴士站,,18路公交车到中北巴士站下，到御景国际,1/20/2020 14:30,1/20/2020 23:59,1/31/2020 22:12,
 扬子晚报网 , 01-20 ,ZH9855,  飞机  ,广州,南京,,,1/20/2020 6:41,1/20/2020 8:31,2/2/2020 11:10,
 现代快报全媒体 , 01-20 ,G258,  火车  ,武汉,徐州东,15号车厢,座位号15车11A座,1/20/2020 7:11,1/21/2020 10:44,1/27/2020 20:47,
 扬州网 , 01-20 ,D3154,  火车  ,汉口,南通,10号车厢,,1/20/2020 14:26,1/20/2020 19:56,2/2/2020 11:31,
 现代快报全媒体 , 01-20 ,沛城街道冯庄村鹏泰超市,  其它公共场所  ,,,,,1/20/2020 15:00,1/20/2020 16:00,1/27/2020 20:53,
 合肥交通广播 , 01-20 ,G596,  火车  ,武汉,合肥南,7号车厢,7车3C/13D号,1/20/2020 14:20,1/20/2020 16:02,2/2/2020 11:50,
 人民日报 , 01-20 ,青岛瑞雪超市（七墩山路751号宏程新天地负一楼）,  其它公共场所  ,,,,,1/20/2020 16:00,1/20/2020 17:37,1/27/2020 20:58,
 中国共产党新疆生产建设兵团第九师委员会宣传部 , 01-20 ,MU2068,  飞机  ,合肥,乌鲁木齐,,座位45排，东航,1/20/2020 14:40,1/20/2020 20:00,2/2/2020 14:07,
 新文化报 , 01-20 ,K974,  火车  ,武汉,长春,15号车厢,座位：81号,1/20/2020 18:04,1/20/2020 3:43,2/5/2020 0:19,
 中国共产党新疆生产建设兵团第九师委员会宣传部 , 01-20 ,T9519,  火车  ,乌鲁木齐,塔城,2号车厢,座位：0251,1/20/2020 22:31,1/21/2020 8:20,2/2/2020 14:15,
 大渝网 , 01-20 ,D267,  火车  ,汉口,重庆北,,,1/20/2020 7:20,1/20/2020 14:05,2/5/2020 0:19,
 新浪广西 , 01-20 ,K4235,  火车  ,杭州,柳州,6号车厢,92号座位,1/20/2020 16:00,1/21/2020 18:17,1/31/2020 22:12,
 哈尔滨日报 , 01-20 ,D6929,  火车  ,哈尔滨火车站,齐齐哈尔南站,2号车厢,座位号2车11F,1/20/2020 16:56,1/20/2020 18:42,1/27/2020 21:10,
 哈尔滨日报 , 01-20 ,CZ6317,  飞机  ,武汉,哈尔滨,,,1/20/2020 11:15,1/20/2020 23:59,1/27/2020 21:11,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-20 ,MF8440,  飞机  ,武汉,大连,,"遵义起飞,经武汉到大连",1/20/2020 18:40,1/20/2020 21:00,2/2/2020 15:13,
 呼和浩特晚报 , 01-20 ,呼和浩特一号线,  地铁  ,市政府站,植物园站,,10:30上车 11:40下车,1/20/2020 10:30,1/20/2020 11:40,1/31/2020 22:12,
 璧山之声 , 01-20 ,璧山107路公交车 渝A03111F,  公交车  ,璧山锦宏居,璧山服装城加油站,,,1/20/2020 17:30,1/20/2020 18:30,1/27/2020 22:47,
 璧山之声 , 01-20 ,璧山807路公交车 渝C78527,  公交车  ,璧山,七塘镇,,,1/20/2020 18:30,1/21/2020 1:50,1/27/2020 22:47,
 恩施发布 , 01-20 ,D5951,  火车  ,汉口,恩施,2号车厢,经停巴东、建始、恩施、利川,1/20/2020 14:16,1/20/2020 18:56,2/3/2020 1:50,
 璧山之声 , 01-20 ,璧山807路公交车 渝C79081,  公交车  ,七塘镇,璧山,,,1/21/2020 1:50,1/21/2020 7:59,1/27/2020 22:48,
 大渝网 , 01-20 ,D2265,  火车  ,武汉,重庆北,,,1/20/2020 14:22,1/20/2020 21:00,2/5/2020 0:19,
 人民日报、广西壮族自治区新型冠状病毒感染的肺炎防控指挥部 , 01-20 ,G439,  火车  ,武汉,桂林北,,同趟车的有89人,1/20/2020 10:14,1/20/2020 15:10,1/28/2020 0:52,
 石家庄日报 , 01-20 ,G6713,  火车  ,北京,石家庄,3号车厢,,1/20/2020 21:40,1/20/2020 22:55,2/5/2020 0:19,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-20 ,D5866,  火车  ,鄂州,汉口,9号车厢,,1/20/2020 8:45,1/20/2020 9:40,2/2/2020 15:13,
 石家庄日报 , 01-20 ,T254,  火车  ,武昌,石家庄,11号车厢,,1/20/2020 7:01,1/20/2020 16:28,2/5/2020 0:19,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-20 ,T182,  火车  ,汉口,麻城,4号车厢,,1/20/2020 14:57,1/20/2020 16:12,2/2/2020 15:13,
 济南城市频道 , 01-20 ,未知,  出租车  ,济南大明湖火车站,济南省立医院西院,,1月20日11时左右，济南大明湖火车站至省立医院西院出租车司机；,1/20/2020 11:00,1/21/2020 7:59,1/31/2020 22:12,
 中国日报网 , 01-20 ,CZ351,  飞机  ,广州,新加坡,,晚间,1/20/2020 18:00,1/20/2020 23:59,2/7/2020 13:48,
 人民日报、广西壮族自治区新型冠状病毒感染的肺炎防控指挥部 , 01-20 ,CZ6643,  飞机  ,武汉,北海,,"座位28H,同乘航班60人",1/20/2020 0:00,1/20/2020 23:59,1/28/2020 1:10,
 大渝网 , 01-20 ,重庆市轨道1号线,  地铁  ,磁器口站,七星岗站,,,1/20/2020 0:00,1/20/2020 23:59,2/7/2020 13:48,
 丹东发布 , 01-20 ,Z208,  火车  ,武昌站,石家庄,15号车厢,18号下铺，其于行程中佩戴口罩，在石家庄站换乘未出站,1/20/2020 22:02,1/21/2020 6:35,1/31/2020 22:12,
 扬子晚报 , 01-20 ,南京地铁2号线转4号线,  地铁  ,南京马群地铁站,徐庄苏宁总部地铁站,,金马路站换乘,1/20/2020 6:50,1/20/2020 0:00,1/31/2020 22:12,
 扬子晚报 , 01-20 ,南京4号线转3号线,  地铁  ,南京徐庄苏宁总部地铁站,柳州东路站,,鸡鸣寺站换乘,1/20/2020 18:00,1/20/2020 0:00,1/31/2020 22:12,
 平安湛江 , 01-20 ,D7465,  火车  ,广州南,湛江西,一等座车厢,在吴川站下车,1/20/2020 11:21,1/20/2020 14:34,2/2/2020 18:37,
 人民日报 , 01-20 ,Z6,  火车  ,武昌,焦作,17号车厢,,1/20/2020 23:06,1/21/2020 3:45,2/6/2020 14:56,
 扬子晚报 , 01-20 ,南京511路,  公交车  ,南京柳洲东路,南京桥荫路北站,,18:00后,1/20/2020 0:00,1/20/2020 0:00,1/31/2020 22:12,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-20 ,G422,  火车  ,武汉,信阳东,14号车厢,,1/20/2020 16:01,1/20/2020 16:48,2/4/2020 1:29,
 广西卫生健康委员会 , 01-20 ,K157,  火车  ,武汉,玉林,7号车厢,座位号：29,1/20/2020 10:17,1/20/2020 4:15,2/3/2020 14:55,
 广西卫生健康委员会 , 01-20 ,K1803,  火车  ,武昌,贺州,3号车厢,座位号：153,1/20/2020 9:38,1/21/2020 0:10,2/3/2020 14:55,
 广西卫生健康委员会 , 01-20 ,G435,  火车  ,武汉,南宁东,17号车厢,座位号：2D,1/20/2020 13:29,1/20/2020 20:53,2/3/2020 14:55,
 广西卫生健康委员会 , 01-20 ,G431,  火车  ,武汉,桂林北,2号车厢,座位号：12C,1/20/2020 7:06,1/20/2020 12:10,2/3/2020 14:55,
 扬子晚报 , 01-20 ,南京D10路,  公交车  ,南京平顶山公园,南京丽景路,,12:00:00,1/20/2020 20:00,1/20/2020 0:00,1/31/2020 22:12,
 广西卫生健康委员会 , 01-20 ,G431,  火车  ,武汉,柳州,8号车厢,座位号：017D,1/20/2020 7:06,1/20/2020 13:34,2/3/2020 14:55,
 扬子晚报 , 01-20 ,南京502路,  公交车  ,南京桥北客运站,南京葛塘地铁站,,18:00:00,1/21/2020 2:00,1/20/2020 0:00,1/31/2020 22:12,
 广西卫生健康委员会 , 01-20 ,G435,  火车  ,武汉,南宁东,3号车厢,座位号：004C,1/20/2020 13:29,1/20/2020 20:53,2/3/2020 14:55,
 恩施电视台，恩施市新型冠状病毒感染的肺炎防控指挥部 , 01-20 ,D5965,  火车  ,宜昌,恩施,2号车厢,,1/20/2020 13:18,1/20/2020 15:38,2/5/2020 0:19,
 凉山州政府新闻办 , 01-20 ,EU2712,  飞机  ,武汉,成都,,,1/20/2020 23:00,1/21/2020 3:00,2/4/2020 11:01,
 今日竹山，竹山县新型冠状病毒感染的肺炎疫情防控指挥部 , 01-20 ,G6817,  火车  ,武汉,十堰东,12号车厢,座位：05D,1/20/2020 8:30,1/20/2020 10:27,2/5/2020 0:19,
 凉山州政府新闻办 , 01-20 ,川Y15268,  长途客车/大巴  ,巴中,西昌,,巴中至攀枝花大巴,1/20/2020 11:00,1/20/2020 20:00,2/4/2020 11:09,
 广西卫生健康委员会 , 01-20 ,MU9689,  飞机  ,武汉,柳州,,座位号：35C,1/20/2020 0:00,1/20/2020 23:59,2/3/2020 14:55,
 广西卫生健康委员会 , 01-20 ,EU1814,  飞机  ,武汉,北海,,座位号：20F,1/20/2020 0:00,1/20/2020 23:59,2/3/2020 14:55,
 郑州晚报 , 01-20 ,G4820,  火车  ,武汉,郑州东,8号车厢,,1/20/2020 0:00,1/20/2020 23:59,1/28/2020 16:41,
 广西卫生健康委员会 , 01-20 ,G435,  火车  ,武汉,南宁东,15号车厢,座位号：04F,1/20/2020 13:29,1/20/2020 20:53,2/3/2020 15:31,
 郑州晚报 , 01-20 ,G486,  火车  ,武汉,郑州东,1号车厢,,1/20/2020 0:00,1/20/2020 23:59,1/28/2020 16:41,
 广西卫生健康委员会 , 01-20 ,G435,  火车  ,武汉,南宁东,15号车厢,座位号：04C,1/20/2020 13:29,1/20/2020 20:53,2/3/2020 15:31,
 新疆奎屯日报 , 01-20 ,Z292,  火车  ,汉口,乌鲁木齐,4号车厢,,1/20/2020 17:34,1/22/2020 7:50,1/31/2020 22:12,
 人民日报 , 01-20 ,G488,  火车  ,郑州东,北京西,4号车厢,座位：13D,1/20/2020 14:31,1/20/2020 17:06,2/3/2020 16:59,
 湘阴微生活 , 01-20 ,湘F09430,  长途客车/大巴  ,岳阳,湘阴,,同车共28人,1/20/2020 0:00,1/20/2020 13:50,1/31/2020 22:12,
 走进湖滨 微博 , 01-20 ,G508,  火车  ,汉口,郑州东,11号车厢,11车15C,1/20/2020 7:10,1/20/2020 9:29,2/5/2020 0:19,
 吉林省卫生健康委员会 , 01-20 ,CZ6123,  飞机  ,北京市,长春龙嘉机场,,座位：33A,1/20/2020 0:00,1/20/2020 23:59,2/4/2020 21:48,
 吉林省卫生健康委员会 , 01-20 ,C1208,  火车  ,龙嘉,长春,4号车厢,座位：17排,1/20/2020 10:06,1/20/2020 10:20,2/4/2020 21:49,
 吉林省卫生健康委员会 , 01-20 ,G1278,  火车  ,武汉,长春西,10号车厢,夫妻2人，座位：10排,1/20/2020 7:55,1/20/2020 19:15,2/4/2020 21:52,
 潇湘晨报官方 , 01-20 ,肥东县D105路,  公交车  ,肥东县马湖乡冯山大街站,肥东县店埠镇琪瑞大厦站,,,1/20/2020 8:30,1/21/2020 7:59,1/31/2020 22:12,
 红寺堡区人民政府网 , 01-20 ,2701,  火车  ,萨拉齐,银川,7号车厢,0151铺位,1/20/2020 21:47,1/21/2020 5:25,2/3/2020 1:49,
 闪电新闻 , 01-20 ,G94,  火车  ,武汉,郑州东,8号车厢,座位号 8车09C,1/20/2020 0:00,1/20/2020 23:59,1/28/2020 17:01,
 潇湘晨报官方 , 01-20 ,肥东县店埠镇新世界服装城,  其它公共场所  ,,,,,1/20/2020 8:30,1/20/2020 18:00,1/31/2020 22:12,
 人民日报 , 01-20 ,Z38,  火车  ,武昌,北京西,6号车厢,,1/20/2020 19:50,1/20/2020 6:40,2/7/2020 14:05,
 潇湘晨报官方 , 01-20 ,肥东县D105路,  公交车  ,店埠镇琪瑞大厦站,马湖乡冯山大街站,,,1/20/2020 18:00,1/21/2020 7:59,1/31/2020 22:12,
 闪电新闻 , 01-20 ,G1828,  火车  ,郑州东,徐州东,13号车厢,座位号 13车15A,1/20/2020 0:00,1/20/2020 23:59,1/28/2020 17:03,
 齐鲁晚报、威海市卫生健康委员会 , 01-20 ,威海捷捷娱乐中心（海滨北路76号）,  其它公共场所  ,,,,,1/20/2020 22:00,1/20/2020 23:59,1/28/2020 17:03,
 辽源市人民政府 , 01-20 ,CA8223,  飞机  ,武汉,长春,,座位号20C,1/20/2020 0:00,1/20/2020 23:59,2/3/2020 1:49,
 人民日报官微，搜狐 , 01-20 ,K1525,  火车  ,保定,石家庄,15车厢,,1/20/2020 5:50,1/20/2020 7:25,2/5/2020 0:19,
 闪电新闻 , 01-20 ,G280,  火车  ,徐州东,枣庄,14号车厢,座位号 14车15C,1/20/2020 0:00,1/20/2020 23:59,1/28/2020 17:05,
 人民日报 , 01-20 ,K1561,  火车  ,永州,梧州,6号车厢,6车95号,1/20/2020 1:00,1/20/2020 6:00,1/28/2020 18:34,
 山西日报 , 01-20 ,G683,  火车  ,北京西,原平西,7号车厢,座位：009B,1/20/2020 16:58,1/20/2020 21:02,2/6/2020 16:36,
 新浪黑龙江微博 , 01-20 ,桦川县创业乡西大村卫生所,  其它公共场所  ,,,,上午就诊,1/20/2020 0:00,1/20/2020 23:59,2/1/2020 0:11,
 山西日报 , 01-20 ,晋HD06956,  出租车  ,忻州,患者家,,,1/20/2020 21:02,1/20/2020 21:30,2/6/2020 16:40,
 大渝网 , 01-20 ,合川客运中心,  长途客车/大巴  ,重庆北站,合川客运中心,,,1/20/2020 16:50,1/20/2020 18:30,2/5/2020 0:19,
 央视新闻 , 01-20 ,河南洛阳洛龙区龙门石窟风景区伊东路与迎宾大道交叉口龙矿家属院旁边的牛肉汤馆,  其它公共场所  ,,,,上10时左右在甜梦小屋民宿旁边的牛肉汤馆早餐,1/20/2020 10:00,1/20/2020 23:59,2/1/2020 0:11,
 秦楚网 , 01-20 ,14:00班车,  长途客车/大巴  ,湖北省十堰市竹山县,湖北省十堰市官渡镇,,,1/20/2020 14:00,1/20/2020 23:59,2/5/2020 0:19,
 济南市卫生健康委员会 , 01-20 ,SC1176,  飞机  ,重庆,济南,,,1/20/2020 0:00,1/20/2020 23:59,2/6/2020 17:50,
 央视新闻 , 01-20 ,河南洛阳龙门石窟景区,  其它公共场所  ,,,,,1/20/2020 11:00,1/20/2020 23:59,2/1/2020 0:11,
 营口市人民政府 , 01-20 ,C1112,  火车  ,通辽,沈阳,3号车厢,,1/20/2020 11:45,1/20/2020 13:33,2/4/2020 23:08,
 央视新闻 , 01-20 ,河南洛阳白马寺附近,  其它公共场所  ,,,,在洛阳白马寺附近用餐,1/20/2020 16:30,1/20/2020 23:59,2/1/2020 0:11,
 央视新闻 , 01-20 ,河南洛阳白马寺东平东区服务区,  其它公共场所  ,,,,下午16时半左右，在洛阳白马寺附近用餐，然后去白马寺，在东平东区服务区买了烧鸡，然后在长椅上休息（没住宿）,1/20/2020 0:00,1/20/2020 23:59,2/1/2020 0:11,
 济南市卫生健康委员会 , 01-20 ,G2666,  火车  ,济南,上海,15号车厢,,1/20/2020 12:45,1/20/2020 17:49,2/6/2020 17:58,
 今日竹山，竹山县新型冠状病毒感染的肺炎疫情防控指挥部 , 01-20 ,面包车，车牌不详,  长途客车/大巴  ,湖北省十堰市竹山县潘口高速路口,湖北省十堰市竹山县得胜镇文峪村,,,1/20/2020 14:00,1/20/2020 15:00,2/5/2020 0:19,
 今日竹山，竹山县新型冠状病毒感染的肺炎疫情防控指挥部 , 01-20 ,车牌不详,  长途客车/大巴  ,十堰东站,竹山县潘口高速路口,,,1/20/2020 11:30,1/20/2020 14:00,2/5/2020 0:19,
 邯郸发布 , 01-20 ,G306,  火车  ,武汉,邯郸东,14号车厢,,1/20/2020 14:50,1/20/2020 17:33,2/3/2020 1:49,
 人民日报 , 01-20 ,K974,  火车  ,武汉汉口,哈尔滨西,18号车厢,三名武汉返乡人员,1/20/2020 18:04,1/22/2020 7:48,1/28/2020 22:09,
 人民日报 , 01-20 ,呼和浩特地铁1号线,  地铁  ,市政府站,植物园站,,,1/20/2020 10:30,1/20/2020 11:40,2/1/2020 0:11,
 红塔区发布 , 01-20 ,8L9892,  飞机  ,武汉,昆明,,,1/20/2020 20:35,1/21/2020 6:59,2/5/2020 0:19,
 大梦蕉城、蕉城区新型冠状病毒感染的肺炎疫情防控工作领导小组 , 01-20 ,D3262,  火车  ,武汉,福州,3号车厢,座位2D、2F,1/20/2020 8:31,1/20/2020 14:38,1/29/2020 0:28,
 大梦蕉城、蕉城区新型冠状病毒感染的肺炎疫情防控工作领导小组 , 01-20 ,D3240,  火车  ,福州,宁德,1号车厢,"座位12C、12D, 终点站南京南",1/20/2020 15:49,1/20/2020 16:40,1/29/2020 0:30,
 辽宁交通广播 , 01-20 ,D5688,  火车  ,湖北鄂州,汉口,9号车厢,站票,1/20/2020 8:48,1/20/2020 9:48,2/3/2020 1:49,
 央视新闻 , 01-19 ,CZ3341,  飞机  ,武汉,海口,,,1/19/2020 0:00,1/19/2020 23:59,2/1/2020 11:54,
 央视新闻 , 01-19 ,HU7658,  飞机  ,武汉,海口,,,1/19/2020 0:00,1/19/2020 23:59,2/1/2020 11:54,
 央视新闻 , 01-19 ,JD5628,  飞机  ,武汉,三亚,,,1/19/2020 0:00,1/19/2020 23:59,2/1/2020 11:54,
 央视新闻 , 01-19 ,JD5706,  飞机  ,武汉,海口,,,1/19/2020 0:00,1/19/2020 23:59,2/1/2020 11:54,
 吕梁网，吕梁市离石区疾病预防控制中心 , 01-19 ,HU7630,  飞机  ,武汉天河机场,太原武宿机场,,海南航空,1/19/2020 18:51,1/19/2020 20:07,2/5/2020 0:19,
 海南日报，海南省卫健委 , 01-19 ,双泰27,  轮船  ,徐闻海安,旧港,,,1/19/2020 0:00,1/19/2020 23:59,2/3/2020 1:49,
 央视新闻 , 01-19 ,南京637路公交车,  公交车  ,浦珠北路大桥北路站,浦口医院站,,,1/19/2020 13:36,1/19/2020 23:59,1/27/2020 15:49,
 央视新闻 , 01-19 ,南京692路公交车,  公交车  ,浦园北路浦东路站,浦园北路乐华路站,,,1/19/2020 14:33,1/19/2020 23:59,1/27/2020 15:50,
 央视新闻 , 01-19 ,K1276,  火车  ,武昌,大同,10号车厢,南昌-包头列车,1/19/2020 15:37,1/20/2020 14:05,1/27/2020 15:54,
 淮安发布 , 01-19 ,未知,  火车  ,汉口,南京南,,,1/19/2020 9:36,1/19/2020 12:26,1/27/2020 17:03,
 淮安发布 , 01-19 ,未知,  长途客车/大巴  ,南京南站,淮安汽车客运东站,,,1/19/2020 13:40,1/19/2020 23:59,1/27/2020 17:05,
 人民日报 , 01-19 ,鄂ALB-961,  长途客车/大巴  ,武汉,河南安阳,黄色大巴,,1/19/2020 0:00,1/19/2020 23:59,2/1/2020 20:30,
 人民网 , 01-19 ,G604,  火车  ,正定机场,保定东,7号车厢,,1/19/2020 8:43,1/19/2020 9:13,2/4/2020 1:19,
 人民网 , 01-19 ,南京558路,  公交车  ,浦珠北路·乐华路站,城河村站,,,1/19/2020 14:43,1/19/2020 23:59,1/31/2020 22:11,
 广西壮族自治区卫生委官网 , 01-19 ,D3751,  火车  ,柳州,贵港,3号车厢,16D,1/19/2020 8:06,1/19/2020 9:15,2/5/2020 12:27,
